tier	task	seconds	t0	t1	soc_joules	work
6.5W#p2	sha_mt	2.903	1789822604.417	1789822607.320	19.2	4096
6.5W#p2	pdf_mt	4.330	1789822610.391	1789822614.722	28.0	80
6.5W#p2	pdf_st	9.866	1789822617.780	1789822627.645	28.4	40
6.5W#p2	py_st	2.957	1789822630.672	1789822633.629	15.0	2
6.5W#p2	sha_st	4.852	1789822636.656	1789822641.509	19.4	2048
6W#p2	zstd_mt	12.303	1789822660.641	1789822672.944	73.6	500
6W#p2	sha_mt	3.095	1789822675.974	1789822679.070	18.8	4096
6W#p2	pdf_mt	4.614	1789822682.139	1789822686.753	27.6	80
6W#p2	pdf_st	9.836	1789822689.804	1789822699.640	28.9	40
6W#p2	py_st	2.913	1789822702.670	1789822705.583	15.5	2
6W#p2	sha_st	4.712	1789822708.610	1789822713.322	19.6	2048
5.5W#p2	zstd_mt	13.579	1789822734.462	1789822748.041	74.6	500
5.5W#p2	sha_mt	3.345	1789822751.068	1789822754.413	18.8	4096
5.5W#p2	pdf_mt	4.749	1789822757.491	1789822762.240	26.4	80
5.5W#p2	pdf_st	9.866	1789822765.297	1789822775.163	28.1	40
5.5W#p2	py_st	2.939	1789822778.194	1789822781.133	15.0	2
5.5W#p2	sha_st	4.815	1789822784.161	1789822788.976	19.2	2048
5W#p2	zstd_mt	15.404	1789822808.098	1789822823.502	77.0	500
5W#p2	sha_mt	3.733	1789822826.529	1789822830.262	19.2	4096
5W#p2	pdf_mt	5.295	1789822833.329	1789822838.623	26.6	80
5W#p2	pdf_st	9.872	1789822841.660	1789822851.532	28.0	40
5W#p2	py_st	2.985	1789822854.551	1789822857.536	14.9	2
5W#p2	sha_st	4.705	1789822860.556	1789822865.261	19.6	2048
4W#p2	zstd_mt	21.350	1789822882.381	1789822903.731	85.5	500
4W#p2	sha_mt	5.143	1789822906.766	1789822911.909	21.1	4096
4W#p2	pdf_mt	6.738	1789822914.982	1789822921.721	27.2	80
4W#p2	pdf_st	9.799	1789822924.777	1789822934.576	27.9	40
4W#p2	py_st	3.389	1789822937.604	1789822940.993	13.7	2
4W#p2	sha_st	4.872	1789822944.022	1789822948.893	19.5	2048
12W#p3	zstd_mt	6.833	1789822966.070	1789822972.903	79.7	500
12W#p3	sha_mt	1.767	1789822975.930	1789822977.697	20.7	4096
12W#p3	pdf_mt	3.481	1789822980.767	1789822984.248	33.6	80
12W#p3	pdf_st	9.813	1789822987.317	1789822997.130	28.4	40
12W#p3	py_st	2.928	1789823000.160	1789823003.088	15.1	2
12W#p3	sha_st	4.774	1789823006.119	1789823010.892	27.7	2048
7W#p3	zstd_mt	10.436	1789823044.076	1789823054.512	72.7	500
7W#p3	sha_mt	2.637	1789823057.556	1789823060.193	18.8	4096
7W#p3	pdf_mt	4.055	1789823063.247	1789823067.303	28.1	80
7W#p3	pdf_st	9.864	1789823070.359	1789823080.222	28.5	40
7W#p3	py_st	2.946	1789823083.253	1789823086.199	15.3	2
7W#p3	sha_st	4.735	1789823089.230	1789823093.965	19.3	2048
7.5W#p3	zstd_mt	10.021	1789823115.109	1789823125.130	74.7	500
7.5W#p3	sha_mt	2.445	1789823128.155	1789823130.600	18.6	4096
7.5W#p3	pdf_mt	3.846	1789823133.668	1789823137.514	28.5	80
7.5W#p3	pdf_st	9.836	1789823140.572	1789823150.408	27.6	40
7.5W#p3	py_st	2.923	1789823153.439	1789823156.362	15.4	2
7.5W#p3	sha_st	4.776	1789823159.394	1789823164.170	19.6	2048
9W#p3	zstd_mt	8.353	1789823183.294	1789823191.647	74.2	500
9W#p3	sha_mt	2.147	1789823194.672	1789823196.820	19.0	4096
9W#p3	pdf_mt	3.480	1789823199.874	1789823203.354	30.4	80
9W#p3	pdf_st	9.788	1789823206.393	1789823216.181	28.6	40
9W#p3	py_st	2.927	1789823219.200	1789823222.126	15.0	2
9W#p3	sha_st	4.858	1789823225.147	1789823230.005	19.5	2048
6.5W#p3	zstd_mt	11.344	1789823251.139	1789823262.483	73.3	500
6.5W#p3	sha_mt	2.846	1789823265.515	1789823268.361	18.8	4096
6.5W#p3	pdf_mt	4.257	1789823271.429	1789823275.686	27.7	80
6.5W#p3	pdf_st	9.806	1789823278.737	1789823288.543	28.5	40
6.5W#p3	py_st	2.975	1789823291.569	1789823294.544	15.1	2
6.5W#p3	sha_st	4.764	1789823297.572	1789823302.336	19.5	2048
10W#p3	zstd_mt	7.662	1789823323.471	1789823331.134	75.5	500
10W#p3	sha_mt	1.949	1789823334.158	1789823336.108	19.5	4096
10W#p3	pdf_mt	3.402	1789823339.163	1789823342.565	31.9	80
10W#p3	pdf_st	9.870	1789823345.608	1789823355.478	27.8	40
10W#p3	py_st	2.931	1789823358.500	1789823361.431	15.0	2
10W#p3	sha_st	4.741	1789823364.450	1789823369.191	19.6	2048
8W#p3	zstd_mt	9.354	1789823392.352	1789823401.707	74.6	500
8W#p3	sha_mt	2.266	1789823404.738	1789823407.004	18.4	4096
8W#p3	pdf_mt	3.618	1789823410.075	1789823413.693	28.8	80
8W#p3	pdf_st	9.795	1789823416.749	1789823426.544	28.7	40
8W#p3	py_st	2.938	1789823429.575	1789823432.513	15.2	2
8W#p3	sha_st	4.725	1789823435.543	1789823440.267	19.1	2048
5.5W#p3	zstd_mt	13.780	1789823461.407	1789823475.187	75.6	500
5.5W#p3	sha_mt	3.341	1789823478.212	1789823481.553	18.9	4096
5.5W#p3	pdf_mt	4.764	1789823484.618	1789823489.382	26.4	80
5.5W#p3	pdf_st	9.833	1789823492.438	1789823502.271	27.7	40
5.5W#p3	py_st	2.916	1789823505.304	1789823508.220	14.9	2
5.5W#p3	sha_st	4.842	1789823511.252	1789823516.093	19.8	2048
6W#p3	zstd_mt	12.270	1789823533.218	1789823545.487	73.3	500
6W#p3	sha_mt	3.025	1789823548.522	1789823551.546	18.6	4096
6W#p3	pdf_mt	4.555	1789823554.623	1789823559.177	27.5	80
6W#p3	pdf_st	9.869	1789823562.234	1789823572.103	28.4	40
6W#p3	py_st	2.950	1789823575.134	1789823578.084	15.0	2
6W#p3	sha_st	4.731	1789823581.110	1789823585.841	19.6	2048
5W#p3	zstd_mt	15.684	1789823602.971	1789823618.655	78.3	500
5W#p3	sha_mt	3.802	1789823621.681	1789823625.484	19.5	4096
5W#p3	pdf_mt	5.115	1789823628.545	1789823633.660	25.8	80
5W#p3	pdf_st	9.790	1789823636.698	1789823646.488	28.2	40
5W#p3	py_st	2.983	1789823649.507	1789823652.490	14.8	2
5W#p3	sha_st	4.848	1789823655.510	1789823660.358	19.3	2048
4W#p3	zstd_mt	21.272	1789823677.468	1789823698.740	85.2	500
4W#p3	sha_mt	5.181	1789823701.766	1789823706.947	21.4	4096
4W#p3	pdf_mt	6.837	1789823710.007	1789823716.843	27.5	80
4W#p3	pdf_st	9.886	1789823719.883	1789823729.769	28.5	40
4W#p3	py_st	3.394	1789823732.788	1789823736.182	13.7	2
4W#p3	sha_st	4.763	1789823739.202	1789823743.965	19.0	2048
